Player,Tm,Salary,Cap Hit,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,Tm_ANA,Tm_ARI,Tm_BOS,Tm_BUF,Tm_CAR,Tm_CBJ,Tm_CGY,Tm_CHI,Tm_COL,Tm_DAL,Tm_DET,Tm_EDM,Tm_FLA,Tm_LAK,Tm_MIN,Tm_MTL,Tm_NJD,Tm_NSH,Tm_NYI,Tm_NYR,Tm_OTT,Tm_PHI,Tm_PIT,Tm_SEA,Tm_SJS,Tm_STL,Tm_TBL,Tm_TOR,Tm_TOT,Tm_VAN,Tm_VEG,Tm_WPG,Tm_WSH,Pos_C,Pos_D,Pos_LW,Pos_RW,,,
Charlie Coyle,BOS,6000000,5250000,29,68,15,24,39,-4,32,3.2,12,3,0,4,17,6,1,102,14.7,1183,37,78,438,471,48.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Teuvo Teravainen,CAR,5875000,5400000,27,64,18,39,57,20,20,6.1,8,8,2,1,17,21,1,175,10.3,1154,26,15,22,19,53.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
Elias Lindholm,CGY,5850000,4850000,27,68,34,35,69,46,16,9.4,24,9,1,7,25,9,1,188,18.1,1352,41,49,694,612,53.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Adam Henrique,ANA,5825000,5825000,31,47,14,19,33,1,8,3.5,10,4,0,0,15,4,0,116,12.1,805,40,19,209,169,55.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Bo Horvat,VAN,5775000,5500000,26,65,27,18,45,1,38,5.2,15,11,1,3,13,5,0,177,15.3,1275,43,87,782,594,56.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,,
Adam Pelech,NYI,5750000,5750000,27,64,3,24,27,22,12,6.3,3,0,0,0,23,0,1,85,3.5,1364,104,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
Colton Parayko,STL,5625000,5500000,28,66,6,21,27,8,14,4.6,6,0,0,2,20,1,0,116,5.2,1588,148,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,
Darnell Nurse,EDM,5600000,5600000,26,63,8,23,31,14,50,5.6,7,0,1,0,17,6,0,184,4.3,1604,118,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
Erik Karlsson,SJS,5500000,11500000,31,45,10,23,33,-11,14,5,10,0,0,2,14,9,0,106,9.4,1050,43,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,,
Tyler Johnson,CHI,5500000,5000000,31,17,1,2,3,-9,10,-0.2,1,0,0,0,0,2,0,19,5.3,214,5,25,26,18,59.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Christopher Tanev,CGY,5500000,4500000,32,68,5,19,24,26,20,5.7,5,0,0,2,19,0,0,74,6.8,1394,121,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
Nino Niederreiter,CAR,5475000,5250000,29,62,21,14,35,18,20,4.6,17,4,0,4,13,1,0,120,17.5,913,14,96,11,18,37.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
Andre Burakovsky,COL,5400000,4900000,26,67,19,30,49,13,16,5,15,4,0,4,25,5,0,120,15.8,1085,28,40,8,12,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
Seth Jones,CHI,5400000,5400000,27,66,5,42,47,-33,26,4.8,5,0,0,0,23,18,1,165,3,1724,138,82,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
Calvin de Haan,CHI,5400000,4550000,30,64,3,4,7,-18,31,1.2,3,0,0,0,4,0,0,102,2.9,1219,163,135,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
Rasmus Ristolainen,PHI,5400000,5400000,27,62,2,14,16,-11,36,2.3,2,0,0,0,13,1,0,93,2.2,1335,121,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
Mikael Backlund,CGY,5350000,5350000,32,68,12,21,33,15,20,2.9,12,0,0,1,17,4,0,175,6.9,1172,24,54,515,515,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Jakob Chychrun,ARI,5300000,4600000,23,47,7,14,21,-20,47,2.3,6,1,0,2,14,0,0,141,5,1080,66,51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
Anthony Mantha,WSH,5300000,5700000,27,24,7,7,14,-2,12,1.4,7,0,0,0,5,2,0,58,12.1,366,14,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
Ondrej Palat,TBL,5300000,5300000,30,63,15,22,37,7,18,3.5,14,1,0,5,16,5,1,118,12.7,1059,34,99,1,11,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,
Patric Hornqvist,FLA,5300000,5300000,35,53,10,14,24,-2,13,1.7,7,3,0,0,10,4,0,135,7.4,678,15,98,7,13,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
