Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
455,Duncan Keith\keithdu01,38,EDM,D,52,1,18,19,6,20,2.9,1,0,0,1,16,2,0,70,1.4,1041,20:01,84,22,0,0,
456,Clayton Keller\kellecl01,23,ARI,C,67,28,35,63,3,28,6.7,22,5,1,2,28,6,1,177,15.8,1349,20:08,31,17,29,39,42.6
457,Parker Kelly\kellypa01,22,OTT,F,27,5,1,6,-1,37,0.7,5,0,0,0,1,0,0,30,16.7,262,9:42,21,88,0,1,0
458,Adrian Kempe\kempead01,25,LAK,LW,68,29,16,45,-4,40,5.4,22,4,3,7,8,8,0,201,14.4,1256,18:28,22,90,23,21,52.3
459,Michal Kempny\kempnmi01,31,WSH,D,15,1,1,2,-3,16,0.3,1,0,0,0,1,0,0,10,10,238,15:50,19,22,0,0,
460,Alexander Kerfoot\kerfoal01,27,TOR,C,68,11,35,46,19,14,4.4,11,0,0,1,31,1,3,99,11.1,1033,15:11,55,62,51,78,39.5
461,Tanner Kero\kerota01,29,DAL,RW,23,0,3,3,-5,0,-0.2,0,0,0,0,3,0,0,14,0,220,9:34,9,12,9,5,64.3
462,Phil Kessel\kesseph01,34,ARI,RW,69,7,36,43,-14,38,2.4,5,2,0,0,26,10,0,142,4.9,1152,16:41,20,6,2,4,33.3
463,Jujhar Khaira\khairju01,27,CHI,LW,27,3,0,3,-4,13,-0.1,3,0,0,0,0,0,0,32,9.4,367,13:36,14,88,53,48,52.5
464,Matt Kiersted\kiersma01,23,FLA,D,8,1,1,2,-3,0,0,1,0,0,0,1,0,0,7,14.3,104,13:02,16,6,0,0,
465,Alex Killorn\killoal01,32,TBL,C,68,21,31,52,0,56,4.9,17,4,0,2,24,7,0,125,16.8,1289,18:58,21,74,1,9,10
466,Bryce Kindopp\kindobr01,22,ANA,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,6:06,0,0,0,1,0
